classname,faction,subtype,posX,posY,posZ
section\monster\monster_qiqiu\monster_qiqiu_red.gim,6,Prop,3981.88,1225.18,203.52
section\monster\monster_qiqiu\monster_qiqiu_blue.gim,6,Prop,4549.37,1211.09,133.51
section\monster\monster_qiqiu\monster_qiqiu_blue.gim,6,Prop,4426.96,1251.40,133.51
section\monster\monster_muchao\monster_muchao.gim,6,Prop,4662.29,1157.58,133.51
section\monster\monster_muchao\monster_muchao.gim,6,Prop,4401.01,1300.45,133.51
section\monster\monster_tiao\monster_tiao_01.gim,6,Prop,3630.00,1052.93,133.48
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4154.00,1155.44,134.02
section\monster\monster_yuan\monster_yuan_liantiao.gim,6,Prop,4350.00,1170.00,133.52
section\monster\monster_yuan\monster_yuan01.gim,6,Prop,4232.29,1048.28,134.02
section\monster\monster_daozei\monster_daozei.gim,6,Prop,3756.99,1052.71,134.02
section\monster\monster_xiaobai\monster_xiaobai.gim,6,Prop,4167.26,1340.98,133.98
section\monster\monster_tiao\monster_tiao_01.gim,6,Prop,4196.84,660.79,133.73
section\monster\monster_tiao\monster_tiao.gim,6,Prop,3538.59,1050.10,134.00
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4273.59,1290.00,203.99
section\monster\monster_tiao\monster_tiao.gim,6,Prop,3811.92,1128.13,134.00
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4215.59,1365.59,133.98
section\monster\monster_miaosha\monster_miaosha_bs.gim,6,Prop,invalid,invalid,invalid
section\monster\monster_daozei\monster_daozei.gim,6,Prop,3765.65,1038.99,203.56
section\monster\monster_miaosha\monster_miaosha.gim,6,Prop,3719.11,1028.04,203.56
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4129.11,1759.22,133.55
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4234.31,1695.65,133.55
section\monster\monster_miaosha\monster_miaosha.gim,6,Prop,4218.97,1695.36,133.55
section\monster\monster_qiqiu\monster_qiqiu_red.gim,6,Prop,4176.48,1676.36,133.49
section\monster\monster_muchao\monster_muchao.gim,6,Prop,4181.76,766.74,203.22
section\monster\monster_muchao\monster_muchao.gim,6,Prop,4663.83,1601.67,133.52
section\monster\monster_xiaobai\monster_xiaobai.gim,6,Prop,4122.00,1082.01,204.03
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4159.55,1803.10,133.52
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4290.00,960.62,204.03
scene\model\h55_random\random01\random01_prop\rd01_prop_dici02b.gim,6,Prop,invalid,invalid,invalid
section\monster\monster_tiao\monster_tiao_01.gim,6,Prop,4585.79,1613.67,203.02
section\monster\monster_tiao\monster_tiao_01.gim,6,Prop,4290.73,1587.47,133.48
section\monster\monster_daozei\monster_daozei.gim,6,Prop,4456.02,1521.98,133.52
section\monster\monster_tiao\monster_tiao_01.gim,6,Prop,3244.13,1248.00,203.58
scene\model\h55_random\random01\random01_prop\rd01_prop_book01.gim,6,Prop,-461.00,-10.00,-8.50
scene\model\h55_random\random01\random01_in\rd01_core_l_01_door01.gim,6,Prop,4200.00,1710.00,133.52
section\monster\monster_miaosha\monster_miaosha_bs.gim,6,Prop,4145.38,1203.19,203.74
chr\player\dm65_survivor_m\dm65_survivor_m_bo\dm65_survivor_m_bo.gim,2,Player,209.31,41.19,11.86
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,3480.82,1099.61,142.02
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,3425.26,1084.02,142.02
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4264.02,1434.74,212.03
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4679.18,1060.39,212.03
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4734.74,1075.98,212.03
scene\model\h55_random\random01\random01_in\random01_in_piano01.gim,6,Prop,4440.64,476.45,137.43
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,3705.69,702.21,142.02
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,3917.79,1425.69,212.03
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4922.61,1393.65,212.03
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4326.80,1054.01,142.02
scene\model\h55_random\random01\random01_in\rd01_in_woodplane01.gim,3,Pallet,4292.91,1024.25,142.02
scene\model\h55_random\random_start\rd_start_door01.gim,4,Prop,-523.88,-3442.87,-8.48
scene\model\h55_random\random01\random01_out\rd01_outdoor_door05.gim,6,Prop,-471.00,60.20,-3.50
scene\model\h55_random\random01\random01_prop\rd01_prop_door04.gim,6,Prop,4890.00,1320.00,203.50
scene\model\h55_random\random01\random01_prop\rd01_prop_door04.gim,6,Prop,4860.00,1470.00,203.50
