160,473
161,473
162,473
163,473
164,473
165,473
166,473
167,473
168,474
169,473
170,473
171,473
172,473
173,473
174,473
175,473
168,475
168,476
168,477
168,478
168,479
168,480
168,481
168,482
168,483
168,484
168,485
168,486
168,487
168,488
168,489
167,490
166,490
165,490
164,490
163,490
162,490
161,489
161,488
161,487
161,486
161,485
161,484
161,483
161,482
161,490
168,490
169,490
170,490
171,490
172,490
173,490
174,490
175,490

186,473
186,474

192,473
193,473
194,473
195,473
196,473
197,473
198,473
199,473
200,473
200,474
200,475
200,476
201,477
201,478
201,479
201,480
201,481
201,482
201,483
200,484
200,485
200,486
200,487
200,488
200,489
200,490
200,491

184,478
184,479
184,480
184,481
184,482
184,483
184,484
184,485
184,486
184,487
184,488
184,489
184,490
184,491
184,492
